donor,status,NA,clustering,qc_num_umi,qc_num_reads,qc_mean_reads_per_umi,qc_std_reads_per_umi,qc_mapped_reads,qc_genome_not_gene,qc_unmapped_reads,qc_umi_corrected,qc_barcode_corrected,fineclusters
donor_3,control,PST45044_CSF,nCD8_Tc,3982,27171,6.82345554997,5.17095071399,0.543336645688,0.311508593721,0.14515476059,0.00636708255125,0.0346325126054,nCD8
donor_3,control,PST45044_CSF,CD4_Tc,2532,16405,6.47906793049,4.99560813043,0.498994209083,0.36007314843,0.140932642487,0.00603474550442,0.0377323986589,Tc_2
donor_3,control,PST45044_CSF,CD4_Tc,5117,35362,6.91068985734,5.20468802301,0.560432102257,0.301057632487,0.138510265256,0.00706973587467,0.0331429217804,Tc_3
donor_3,control,PST45044_CSF,CD4_Tc,5908,39042,6.60832769127,4.93663368821,0.544183187337,0.319732595666,0.136084216997,0.00645458736745,0.0364479278725,Tc_1
donor_3,control,PST45044_CSF,CD4_Tc,5205,34505,6.62920268972,4.94812368245,0.551224460223,0.313114041443,0.135661498334,0.0062599623243,0.0341979423272,Tc_2
donor_3,control,PST45044_CSF,CD4_Tc,4198,27678,6.59313959028,4.9248119069,0.525471493605,0.331671363538,0.142857142857,0.00635884095672,0.0359129994942,Tc_2
donor_3,control,PST45044_CSF,CD4_Tc,6145,41007,6.67323026851,4.93099925395,0.565781451947,0.292291559978,0.141926988075,0.00734021020801,0.0347013924452,Tc_3
donor_3,control,PST45044_CSF,CD4_Tc,4993,32800,6.56919687563,5.00008698801,0.517134146341,0.34631097561,0.136554878049,0.00710365853659,0.0364024390244,Tc_1
donor_3,control,PST45044_CSF,CD4_Tc,6268,39931,6.37061263561,4.70003457557,0.593949562996,0.27031629561,0.135734141394,0.00743783025719,0.0388670456538,Tc_4
donor_3,control,PST45044_CSF,CD4_Tc,11171,73450,6.57506042431,4.93089044272,0.599210347175,0.26480599047,0.135983662355,0.00739278420694,0.0358883594282,Tc_4
donor_3,control,PST45044_CSF,CD4_Tc,4673,29677,6.35073828376,4.78667662438,0.5252889443,0.333591670317,0.141119385383,0.0058968224551,0.0344374431378,Tc_4
donor_3,control,PST45044_CSF,mDC,6621,43765,6.61002869657,4.87330564086,0.549708671313,0.304604135725,0.145687192962,0.00712898434822,0.0259796641152,mDC1/2
donor_3,control,PST45044_CSF,CD4_Tc,5846,38965,6.66524119056,4.86076234855,0.592326446811,0.270396509688,0.137277043501,0.00772488130373,0.0389837033235,Tc_3
donor_3,control,PST45044_CSF,CD4_Tc,5291,34081,6.44131544132,4.80438773236,0.513189166985,0.342038085737,0.144772747279,0.00586837240691,0.0355036530618,Tc_1
donor_3,control,PST45044_CSF,nCD8_Tc,3741,24831,6.63753007217,5.02252921079,0.473923724377,0.388949297249,0.137126978374,0.0064838306955,0.0249687890137,nCD8
donor_3,control,PST45044_CSF,CD4_Tc,11476,72644,6.33008016731,4.80146724422,0.560142613292,0.296087770497,0.143769616211,0.00693794394582,0.03408402621,Tc_6
donor_3,control,PST45044_CSF,CD4_Tc,4383,28239,6.44284736482,4.78023260399,0.544459789653,0.316087680159,0.139452530189,0.00945500903006,0.0376075640072,Tc_2
donor_3,control,PST45044_CSF,NK,4413,27279,6.18150917743,4.75886373328,0.499871696177,0.359470655083,0.140657648741,0.00630521646688,0.037391399978,NK
donor_3,control,PST45044_CSF,CD4_Tc,4922,32243,6.55079236083,4.91376151302,0.51186304004,0.343826567007,0.144310392954,0.00688521539559,0.0356356418447,Tc_4
donor_3,control,PST45044_CSF,aCD8_Tc,7820,50635,6.47506393862,5.02687670236,0.502755011356,0.352838945394,0.144406043251,0.00778117902637,0.030867976696,aCD8
donor_3,control,PST45044_CSF,nCD8_Tc,4069,25610,6.29392971246,4.78866194271,0.532487309645,0.324287387739,0.143225302616,0.0064427957829,0.0354549004295,nCD8
donor_3,control,PST45044_CSF,nCD8_Tc,4076,26395,6.47571148184,4.84596082356,0.558401212351,0.301193407842,0.140405379807,0.00742564879712,0.0348172002273,nCD8
donor_3,control,PST45044_CSF,CD4_Tc,5156,31312,6.07292474787,4.64228823086,0.516830608074,0.336165048544,0.147004343383,0.00600408788963,0.0315533980583,Tc_2
donor_3,control,PST45044_CSF,nc_mono,11871,74097,6.24184988628,4.70471495364,0.555582547202,0.300120112825,0.144297339973,0.00757115672699,0.0297717856323,nc_mono
donor_3,control,PST45044_CSF,mDC,9256,24181,2.61246758859,2.16890557738,0.546958355734,0.290724122245,0.162317522021,0.00562425044456,0.0390389148505,mDC1/2
donor_3,control,PST45044_CSF,nc_mono,14646,85078,5.80895807729,4.53228217878,0.530395636945,0.325959707562,0.143644655493,0.00635887068337,0.0289263969534,nc_mono
donor_3,control,PST45044_CSF,CD4_Tc,6119,34153,5.58146756006,4.32481338981,0.542851286856,0.313764530202,0.143384182941,0.00603168096507,0.0254736040758,Tc_3
donor_3,control,PST45044_CSF,nCD8_Tc,4254,24976,5.87118006582,4.54533830683,0.532711402947,0.323710762332,0.143577834721,0.00764734144779,0.0311899423447,nCD8
donor_3,control,PST45044_CSF,CD4_Tc,6499,39423,6.06601015541,4.63554258966,0.538365928519,0.313750856099,0.147883215382,0.00580879182203,0.0292468863354,Tc_1
donor_3,control,PST45044_CSF,CD4_Tc,5349,33719,6.30379510189,4.82489440437,0.55271508645,0.303627035203,0.143657878348,0.00605000148284,0.0265428986625,Tc_3
donor_3,control,PST45044_CSF,nc_mono,10117,62453,6.17307502224,4.81639919747,0.536307303092,0.320416953549,0.143275743359,0.00653291275039,0.0286615534882,nc_mono
donor_3,control,PST45044_CSF,aCD8_Tc,3803,23925,6.29108598475,4.92737278694,0.504326018809,0.349759665622,0.145914315569,0.00530825496343,0.0170532915361,aCD8
donor_3,control,PST45044_CSF,CD4_Tc,14646,91425,6.24231872184,4.74936168183,0.537511621548,0.318829641783,0.143658736669,0.00640962537599,0.025430680886,Tc_6
donor_3,control,PST45044_CSF,CD4_Tc,6005,37281,6.20832639467,4.64011962561,0.592205144712,0.267294332234,0.140500523055,0.00624983235428,0.0267428448808,Tc_4
donor_3,control,PST45044_CSF,CD4_Tc,4978,29211,5.86801928485,4.56718842402,0.506179179076,0.343021464517,0.150799356407,0.00674403478142,0.0302625723186,Tc_1
donor_3,control,PST45044_CSF,CD4_Tc,5318,35214,6.62166227905,5.02172793554,0.538734594195,0.316834213665,0.144431192139,0.00667348213779,0.0362355881184,Tc_1
donor_3,control,PST45044_CSF,class_mono,7752,51995,6.70730134159,5.03640298407,0.575574574478,0.26606404462,0.158361380902,0.0064044619675,0.0356188095009,class_mono
donor_3,control,PST45044_CSF,aCD8_Tc,3633,22334,6.14753647124,4.77681742437,0.516477120086,0.327796185189,0.155726694726,0.00743261395182,0.0322378436465,aCD8
donor_3,control,PST45044_CSF,CD4_Tc,5931,39800,6.71050413084,4.9730459922,0.568768844221,0.287060301508,0.144170854271,0.00721105527638,0.032135678392,Tc_1
donor_3,control,PST45044_CSF,nCD8_Tc,8390,52362,6.2410011919,4.78575058906,0.507047095222,0.351800924334,0.141151980444,0.00697070394561,0.0287422176387,nCD8
donor_3,control,PST45044_CSF,nCD8_Tc,3934,21412,5.44280630402,4.28808243962,0.533952923594,0.31725200822,0.148795068186,0.00639828133757,0.0304035120493,nCD8
donor_3,control,PST45044_CSF,CD4_Tc,4530,29395,6.48896247241,4.93002364794,0.541112434087,0.309882633101,0.149004932812,0.00588535465215,0.0307535295118,Tc_1
donor_3,control,PST45044_CSF,aCD8_Tc,5362,29311,5.4664304364,4.34482837081,0.523830643786,0.331377298625,0.144792057589,0.00583398724029,0.0284193647436,aCD8
donor_3,control,PST45044_CSF,CD4_Tc,5894,35765,6.06803529013,4.6276916411,0.565133510415,0.288102893891,0.146763595694,0.00682231231651,0.029274430309,Tc_3
donor_3,control,PST45044_CSF,CD4_Tc,7297,35672,4.88858434973,3.83100411471,0.54987104732,0.298693653285,0.151435299394,0.00675599910294,0.0237441130298,Tc_3
donor_3,control,PST45044_CSF,nc_mono,9669,48381,5.00372323922,3.90333479794,0.490502469978,0.35675161737,0.152745912652,0.00574605733656,0.0229842293462,nc_mono
donor_3,control,PST45044_CSF,CD4_Tc,4202,18922,4.50309376487,3.58480951615,0.481080224078,0.367244477328,0.151675298594,0.00602473311489,0.0220906880879,Tc_4
donor_3,control,PST45044_CSF,nCD8_Tc,4451,19515,4.3844079982,3.51642303942,0.43653599795,0.402459646426,0.161004355624,0.00409941070971,0.0211632077889,nCD8
donor_3,control,PST45044_CSF,CD4_Tc,4928,22937,4.6544237013,3.64584177961,0.483454680211,0.361904346689,0.1546409731,0.00741160570258,0.0223220124689,Tc_3
donor_3,control,PST45044_CSF,nCD8_Tc,3835,18843,4.91342894394,3.75367176908,0.473491482248,0.3774876612,0.149020856552,0.00583771161705,0.0227140052009,nCD8
donor_3,control,PST45044_CSF,CD4_Tc,8648,42477,4.91177150786,3.82364929557,0.491536596276,0.358335098995,0.15012830473,0.00607387527368,0.0227888033524,Tc_6
donor_3,control,PST45044_CSF,CD4_Tc,5921,32644,5.51325789563,4.32230249528,0.558387452518,0.294081607646,0.147530939836,0.00646366866806,0.0252420046563,Tc_1
donor_3,control,PST45044_CSF,CD4_Tc,13985,67599,4.83367894172,3.7779009458,0.417402624299,0.431086258672,0.151511117028,0.00534031568514,0.023166023166,Tc_6
donor_3,control,PST45044_CSF,CD4_Tc,4282,22675,5.29542269967,4.08292031867,0.540771775083,0.309592061742,0.149636163175,0.00758544652701,0.0258434399118,Tc_3
donor_3,control,PST45044_CSF,nc_mono,18241,100981,5.53593552985,4.25793051529,0.499113694655,0.349600419881,0.151285885464,0.00660520295897,0.0280448797299,nc_mono
donor_3,control,PST45044_CSF,CD4_Tc,5547,27145,4.89363619975,3.78485711898,0.532031681709,0.323706023209,0.144262295082,0.00556271873273,0.023392890035,Tc_3
donor_3,control,PST45044_CSF,mDC,16864,82535,4.89415322581,3.78176274212,0.538886532986,0.315756951596,0.145356515418,0.00588841097716,0.022620706367,mDC1/2
donor_3,control,PST45044_CSF,CD4_Tc,5925,31078,5.24523206751,4.0674735759,0.529731642963,0.322993757642,0.147274599395,0.00572752429371,0.0225239719416,Tc_3
donor_3,control,PST45044_CSF,aCD8_Tc,4491,20936,4.66176798041,3.72863552018,0.525506304929,0.330578907146,0.143914787925,0.00544516622086,0.0247420710737,aCD8
donor_3,control,PST45044_CSF,CD4_Tc,8892,44797,5.03789923527,3.87596215966,0.529075607742,0.318324887827,0.152599504431,0.00589325178025,0.0243543094404,Tc_6
donor_3,control,PST45044_CSF,CD4_Tc,18590,89573,4.81834319527,3.82106604906,0.46749578556,0.379109776384,0.153394438056,0.0062072276244,0.0220155627254,Tc_3
donor_3,control,PST45044_CSF,aCD8_Tc,3593,21257,5.91622599499,4.6403438076,0.508444277179,0.344121936303,0.147433786517,0.00606858917063,0.0229101002023,aCD8
donor_3,control,PST45044_CSF,CD4_Tc,7009,46725,6.66642887716,5.07256294133,0.606056714821,0.256415195292,0.137528089888,0.00774745853398,0.0238416265383,Tc_1
donor_3,control,PST45044_CSF,nc_mono,8600,55419,6.44406976744,4.93527236438,0.498366986052,0.343420126671,0.158212887277,0.00584637037839,0.0261101788195,nc_mono
donor_3,control,PST45044_CSF,CD4_Tc,6249,40091,6.41558649384,4.88507031187,0.570701653738,0.281060587164,0.148237759098,0.00626075677833,0.0257164949739,Tc_6
donor_3,control,PST45044_CSF,CD4_Tc,5743,36885,6.42260142783,4.97726188777,0.567710451403,0.288762369527,0.14352717907,0.00723871492477,0.0221228141521,Tc_1
donor_3,control,PST45044_CSF,nCD8_Tc,3951,24089,6.09693748418,4.812690843,0.500311345427,0.349205031342,0.150483623231,0.00643447216572,0.0233716634148,nCD8
